demandar	-1				
demócrata	0				
Democrática	1				
demostrado	0				
demostramos	0				
demostró	0				
demuestra	0				
den	0				
denigran	-2				
denigrar	-2				
denuncia	-1				
denunciar	-1				
denuncié	-1				
denunció	-1				
depende	0				
deporte	0				
deportes	0				
deportiva	0				
deportivos	0				
depredador	-1				
deprimido	-1				
derecha	0				
derrotar	-2				
desarrollar	0				
descansaré	0				
desconocer	-1				
descubierto	0				
desembotellar	0				
Desempeño	0				
desfalco	-2				
desfavorable	-2				
deshace	-1				
desistir	-1				
desmontar	-1				
desmotivada	-2				
desploma	-2				
desterrar	-2				
destrucción	-2				
destruir	-2				
destruye	-2				
desviar	-1				
di	0				
dialogan	1				
dialogando	1				
dialogo	1				
dias	0				
dice	0				
Dicen	0				
dicho	0				
diciendo	0				
dictadura	-2				
dieron	0				
diferencial	0				
diferente	0				
diferentes	0				
difícil	-1				
dificulta	-1				
Diga	0				
digan	0				
digna	1				
Digno	1				
dignos	1				
digo	0				
dijeron	0				
dijo	0				
dime	0				
dio	0				
directa	0				
directo	0				
dirige	0				
dirigía	0				
discutimos	0				
discutir	0				
diseñado	0				
diseñar	0				
disfrutando	1				
disminuir	-1				
disparandole	-1				
dispuesto	1				
distrital	0				
dividido	0				
divididos	0				
dividir	-1				
divierta	1				
doy	0				
droga	-1				
duele	-1				
dura	0				
duro	0				
Echandía	0				
echar	-1				
económica	0				
ECONÓMICAS	0				
económico	0				
educativa	1				
efectivo	1				
efectivos	1				
eficaces	2				
eficiente	2				
ejecutar	0				
electoral	0				
electorales	0				
eléctricos	0				
elegida	1				
elegido	1				
elegir	1				
elevado	1				
eligen	0				
eliminar	-1				
Emocionante	2				
emotiva	1				
empezamos	0				
empezar	0				
empezó	0				
empieza	0				
empresarial	0				
encabeza	2				
encanta	2				
encargada	0				
encargado	0				
encontramos	0				
encontrará	0				
encontrarnos	0				
encontré	0				
encuentra	0				
enfrentar	0				
engañar	-2				
engañarlo	-2				
engañarnos	-2				
engañaron	-2				
engañen	-2				
engañó	-2				
enorgullece	2				
entender	0				
entiende	0				
entiendo	0				
entra	0				
entrega	0				
entregar	0				
entregara	0				
entregó	0				
Entrevistas	0				
equivocan	-1				
era	0				
eran	0				
eres	0				
es	0				
esbirro	-1				
escoger	0				
escolares	0				
escritos	0				
escucha	1				
escuchamos	1				
escuchan	1				
escuchando	1				
escuchar	1				
escucharan	1				
escucharemos	1				
escuche	1				
esfuerza	1				
especial	1				
especiales	1				
especializó	0				
especialme	0				
espera	0				
Esperamos	0				
esperando	0				
esperanza	2				
esperar	0				
Esperemos	0				
Espero	0				
esposa	0				
esposo	0				
está	0				
estaba	0				
estaban	0				
estacionados	0				
estado	0				
estamos	0				
estan	0				
están	0				
estar	0				
estará	0				
estarán	0				
estaré	0				
Estaremos	0				
esté	0				
estén	0				
estimado	1				
estimular	1				
estoy	0				
estructurado	1				
estudiado	1				
estudian	1				
Estudiantil	0				
estudiar	1				
estupida	-2				
estuvo	0				
ético	2				
eventual	0				
evidente	0				
evitar	0				
exacto	1				
excelente	2				
excelentes	2				
exclusivo	0				
exguerrilleros	-1				
exige	0				
existe	0				
existen	0				
exitosa	2				
exitoso	2				
explique	0				
extrañaría	0				
extrema	0				
fabricado	0				
fácil	0				
falsa	-2				
falsas	-2				
falso	-2				
falsos	-2				
falta	-1				
faltaba	-1				
Faltan	0				
faltó	0				
farc	-2				
favorable	2				
felices	2				
felicito	2				
feliz	2				
femenina	0				
fértil	0				
financiero	0				
financieros	0				
firmar	0				
firmará	0				
firmas	0				
firme	1				
firmes	1				
fiscal	0				
física	0				
fluido	0				
formal	1				
formales	1				
formó	0				
fortalecer	1				
fortalecido	1				
fue	0				
fué	0				
fuera	0				
fueran	0				
fueron	0				
fuerte	1				
fuertes	1				
funciona	1				
fundamental	1				
fundamentales	1				
futuro	0				
gana	2				
ganando	2				
ganar	2				
gane	2				
gano	2				
ganó	2				
garantice	1				
garantiza	1				
garantizar	1				
genera	0				
general	0				
generan	0				
generar	0				
generen	0				
generosa	1				
genial	2				
gesto	0				
gobernada	0				
gobernando	0				
gobernar	0				
gobernará	0				
gobierne	0				
gobierno	0				
goce	1				
gran	2				
grande	1				
grandes	1				
gratuita	1				
grave	-2				
graves	-2				
guerrilla	-2				
guerrillera	-2				
guerrillero	-2				
gusta	1				
gustan	1				
Gustaría	1				
guste	1				
gusto	1				
ha	0				
haber	0				
había	0				
habían	0				
habla	0				
hablamos	0				
hablan	0				
hablando	0				
hablar	0				
hablaré	0				
hable	0				
hablo	0				
habló	0				
habrá	0				
habría	0				
hac	0				
hace	0				
hacemos	0				
hacen	0				
hacer	0				
hacerle	0				
hacerlo	0				
haciendo	0				
haga	0				
Hagamos	0				
hagan	0				
hago	0				
han	0				
hará	0				
harán	0				
haré	0				
Haremos	0				
haría	0				
hay	0				
haya	0				
hayan	0				
He	0				
hecha	0				
hecho	0				
hechos	0				
hemos	0				
herido	-1				
hermosa	2				
hicieron	0				
Hicimos	0				
HinPorTa	0				
hipócrita	-2				
hipócritas	-2				
historia	0				
histórica	0				
hizo	0				
honesta	2				
honesto	2				
honra	2				
honrado	2				
horrible	-2				
horror	-2				
hospitalizado	0				
hp	-2				
hubiera	0				
hubo	0				
Humana	0				
humanitarias	1				
humano	0				
humanos	0				
iba	0				
ideal	2				
ideales	2				
identifica	0				
ideológica	0				
ideológicas	0				
idiota	-2				
ignorante	-2				
igual	0				
iguales	0				
igualitaria	1				
imagino	0				
imbatible	1				
Impecable	1				
impedir	0				
implacable	2				
implementar	0				
imponer	0				
importa	0				
importante	1				
importantes	1				
importar	0				
imposible	-1				
improvisar	-1				
impuesto	0				
impulsa	1				
inaceptable	-2				
inaceptables	-2				
inauguran	1				
inaugure	1				
inauguró	1				
incapaz	-2				
incentivos	1				
incluido	0				
incluir	0				
incluyente	2				
incorporar	0				
increíble	1				
incumpla	-2				
independiente	0				
indispensable	1				
industrial	0				
ineptos	-2				
inflar	0				
inhabilita	-1				
Inicia	0				
inicial	0				
Iniciamos	0				
iniciar	0				
inició	0				
injustificable	-2				
innovadora	2				
inocentes	0				
inscribe	0				
inscribió	0				
Inscribir	0				
insegura	-1				
inseguras	-1				
insiste	0				
insisten	0				
insistir	0				
Inspirar	1				
Instalando	0				
institucional	0				
intachable	2				
integrado	1				
integral	1				
integrales	1				
inteligente	2				
interesa	0				
interesante	1				
interesantes	1				
internacional	0				
intervenir	0				
invertir	0				
invierte	1				
invita	0				
invitado	0				
invitados	0				
invitamos	0				
invito	0				
invitó	0				
ir	0				
izquierda	0				
joven	0				
jóvenes	0				
jugada	0				
jugamos	0				
junto	0				
Juntos	0				
justa	1				
justifica	0				
juvenil	0				
laboral	0				
laborales	0				
ladrones	-2				
Lamentable	-2				
lanza	0				
lanzado	0				
lanzarse	0				
lastima	-1				
Lea	0				
Lean	0				
lee	0				
leer	0				
legalizó	0				
lejana	0				
Leyendo	0				
liberal	0				
liberales	0				
libre	1				
libres	1				
lidera	2				
liderando	2				
liderar	2				
Lideraremos	2				
lideres	2				
limpia	1				
limpiar	0				
limpias	1				
lindo	1				
linea	0				
lineal	0				
listo	0				
listos	0				
llama	0				
llamado	0				
llamados	0				
llaman	0				
llega	0				
Llegamos	0				
llegar	0				
llegará	0				
llego	0				
llegó	0				
llegue	0				
lleguen	0				
llena	0				
llenan	0				
llénate	0				
lleno	0				
llenó	0				
llenos	0				
lleva	0				
llevan	0				
llevando	0				
llevar	0				
llevó	0				
Loa	0				
local	0				
locales	0				
logra	1				
logramos	1				
lograr	1				
lograrán	1				
lograremos	1				
logró	1				
lozas	-1				
luchar	1				
má	0				
maduro	-2				
mal	-2				
mala	-2				
malas	-2				
malo	-2				
malos	-2				
mamerta	-2				
mamerto	-2				
mamertos	-2				
mandó	0				
maneja	0				
manejan	0				
manejando	0				
manejar	0				
mantener	0				
maravilloso	2				
MAS	0				
Más	0				
masivo	0				
máximo	0				
mayor	0				
mayores	0				
media	0				
médicos	0				
mejor	1				
mejorar	1				
mejoraremos	1				
mejore	1				
mejoren	1				
mejores	1				
mencionar	0				
menor	0				
menores	0				
mentira	-2				
merece	1				
merecemos	1				
merecen	1				
mérito	1				
meta	1				
meter	0				
microtráfico	-2				
midan	0				
militar	0				
militares	0				
ministro	0				
Mintió	-2				
Mira	0				
mirar	0				
Mire	0				
miren	0				
miro	0				
moderna	1				
montar	0				
montó	0				
moral	1				
moreno	-2				
mostrar	0				
mover	0				
movilizan	0				
movilizará	0				
mucha	0				
muertos	-2				
muestra	0				
muestran	0				
mueve	0				
multiplica	0				
mundial	0				
nacional	0				
nacionales	0				
narco	-2				
narcos	-2				
necesaria	0				
necesario	0				
necesita	0				
Necesitamos	0				
necesitan	0				
necesito	0				
negó	-1				
negocia	0				
neoliberal	0				
ni	-1				
niega	-1				
no	-1				
nombran	0				
nombrar	0				
normal	0				
noticias	0				
noticiero	0				
nueva	0				
nuevas	0				
nuevo	0				
nuevos	0				
objetivo	0				
obliga	0				
obvio	0				
occidental	0				
ocultan	-1				
ocurre	0				
ocurrido	0				
odian	-2				
odio	-2				
oferta	0				
oficial	0				
ofrece	0				
ofrecer	0				
ofrezca	0				
oir	0				
olvida	-1				
olvidada	-1				
olvidado	-1				
olvidar	-1				
olvido	-1				
olvidó	-1				
opina	0				
opinan	0				
oportunista	-1				
ordenada	1				
organizada	1				
organizado	1				
oscuro	-1				
otorgan	0				
ovacionado	1				
pachito	0				
paga	0				
pagado	0				
pagamos	0				
pagan	0				
pagar	0				
pague	0				
paguen	0				
paraco	-2				
paracos	-2				
paramilitares	-2				
parar	0				
paras	-2				
parece	0				
parecen	0				
parecer	0				
participar	0				
pasa	0				
pasado	0				
pasan	0				
pasando	0				
pasar	0				
PASE	0				
pasen	0				
pasó	0				
payaso	-2				
payasos	-2				
pedía	0				
pedir	0				
peligrosa	-1				
peligrosas	-1				
Peligrosos	-1				
pendientes	0				
pensaba	0				
pensando	0				
pensar	0				
peor	-2				
pequeña	0				
pequeñas	0				
pequeño	0				
perder	-2				
perdidas	-1				
pérdidas	-2				
perdido	-2				
perdiendo	-2				
perdió	-2				
perfecto	2				
permanente	0				
permita	0				
permite	0				
permiten	0				
permitimos	0				
